iter	Passed	Remaining
0	2	289
1	4	241
2	5	192
3	6	159
4	7	144
5	8	133
6	9	125
7	10	118
8	11	113
9	12	109
10	13	106
11	16	117
12	18	121
13	20	123
14	21	124
15	23	122
16	24	121
17	26	119
18	27	117
19	32	131
20	34	128
21	34	123
22	35	119
23	36	115
24	37	112
25	38	108
26	39	105
27	39	102
28	40	99
29	41	96
30	42	93
31	43	91
32	44	89
33	44	87
34	45	85
35	46	83
36	47	81
37	48	79
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	53	67
44	53	65
45	54	64
46	55	62
47	56	60
48	57	59
49	58	58
50	59	56
51	60	55
52	60	54
53	61	52
54	62	50
55	62	49
56	63	48
57	64	46
58	65	45
59	65	43
60	66	42
61	67	41
62	68	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
